Plant,Pollinator,edge.weight,site
Salix fragilis,Adela purpurea,20,A
Salix fragilis,Cyphon variabilis,37,A
Salix fragilis,Spilogona fatima,1,A
Salix fragilis,Apis mellifera,1,A
Salix fragilis,Bombus terricola,3,A
Salix fragilis,Pyrobombus perplexus,2,A
Salix fragilis,Pyrobombus sandersoni,2,A
Salix fragilis,Pyrobombus ternarius,2,A
Salix fragilis,Andrena bradleyi,5,A
Salix fragilis,Andrena carlini,1,A
Salix fragilis,Andrena carolina,1,A
Salix fragilis,Andrena vicina,11,A
Salix fragilis,Colletes inaequalis,51,A
Chamaedaphne calyculata,Spilogona fatima,7,A
Chamaedaphne calyculata,Shaerophoria sp ,1,A
Chamaedaphne calyculata,Melanostoma sp ,1,A
Chamaedaphne calyculata,Helophilus fasciatus,1,A
Chamaedaphne calyculata,Pyrobombus impatiens,1,A
Chamaedaphne calyculata,Pyrobombus sandersoni,1,A
Chamaedaphne calyculata,Pyrobombus ternarius,1,A
Chamaedaphne calyculata,Andrena bradleyi,25,A
Chamaedaphne calyculata,Andrena carlini,6,A
Chamaedaphne calyculata,Andrena mandibularis,1,A
Chamaedaphne calyculata,Andrena regularis,4,A
Chamaedaphne calyculata,Andrena vicina,19,A
Chamaedaphne calyculata,Colletes inaequalis,6,A
Nemopanthus mucronata,Dilophus caurinus,87,A
Nemopanthus mucronata,Spilogona fatima,4,A
Nemopanthus mucronata,Pyrophaena rosarum,2,A
Nemopanthus mucronata,Melanostoma sp ,15,A
Nemopanthus mucronata,Syrphus torvus,1,A
Nemopanthus mucronata,Apis mellifera,1,A
Nemopanthus mucronata,Pyrobombus ternarius,1,A
Nemopanthus mucronata,Andrena alleghaniensis,6,A
Nemopanthus mucronata,Andrena carlini,2,A
Nemopanthus mucronata,Andrena mandibularis,7,A
Nemopanthus mucronata,Andrena regularis,1,A
Nemopanthus mucronata,Andrena vicina,4,A
Nemopanthus mucronata,Dialictus pilosus,1,A
Andromeda glaucophylla,Pyrobombus impatiens,2,A
Andromeda glaucophylla,Pyrobombus ternarius,1,A
Kalmia polifolia,Sercomyia transversa,4,A
Kalmia polifolia,Apis mellifera,1,A
Kalmia polifolia,Pyrobombus impatiens,1,A
Kalmia polifolia,Pyrobombus perplexus,1,A
Kalmia polifolia,Pyrobombus sandersoni,1,A
Kalmia polifolia,Pyrobombus ternarius,3,A
Kalmia polifolia,Andrena bradleyi,2,A
Kalmia polifolia,Andrena mandibularis,13,A
Kalmia polifolia,Andrena regularis,6,A
Kalmia polifolia,Andrena vicina,1,A
Kalmia polifolia,Dialictus pilosus,4,A
Smilacina trifolia,Spilogona fatima,1,A
Smilacina trifolia,Shaerophoria sp ,2,A
Smilacina trifolia,Pyrophaena rosarum,6,A
Smilacina trifolia,Melanostoma sp ,9,A
Smilacina trifolia,Syritta pipiens,1,A
Vaccinium myrtilloides,Sercomyia transversa,1,A
Vaccinium myrtilloides,Apis mellifera,20,A
Vaccinium myrtilloides,Bombus terricola,14,A
Vaccinium myrtilloides,Pyrobombus impatiens,17,A
Vaccinium myrtilloides,Pyrobombus perplexus,14,A
Vaccinium myrtilloides,Pyrobombus sandersoni,7,A
Vaccinium myrtilloides,Pyrobombus ternarius,16,A
Vaccinium myrtilloides,Andrena bradleyi,12,A
Vaccinium myrtilloides,Andrena carlini,1,A
Vaccinium myrtilloides,Andrena carolina,6,A
Vaccinium myrtilloides,Andrena mandibularis,1,A
Vaccinium myrtilloides,Andrena regularis,10,A
Vaccinium myrtilloides,Andrena vicina,7,A
Vaccinium myrtilloides,Colletes inaequalis,11,A
Aronia melanocarpa,Shaerophoria sp ,8,A
Aronia melanocarpa,Melanostoma sp ,1,A
Aronia melanocarpa,Eristalis dimidiata,2,A
Aronia melanocarpa,Helophilus latifrons,1,A
Aronia melanocarpa,Helophilus fasciatus,2,A
Aronia melanocarpa,Helophilus laetus,3,A
Aronia melanocarpa,Syritta pipiens,14,A
Aronia melanocarpa,Syrphus torvus,13,A
Aronia melanocarpa,Pyrobombus perplexus,2,A
Aronia melanocarpa,Pyrobombus sandersoni,2,A
Aronia melanocarpa,Pyrobombus ternarius,1,A
Aronia melanocarpa,Andrena alleghaniensis,3,A
Aronia melanocarpa,Andrena regularis,7,A
Aronia melanocarpa,Andrena vicina,1,A
Aronia melanocarpa,Colletes inaequalis,2,A
Aronia melanocarpa,Dialictus pilosus,7,A
Ledum groenlandicum,Shaerophoria sp ,4,A
Ledum groenlandicum,Pyrophaena rosarum,1,A
Ledum groenlandicum,Sercomyia transversa,2,A
Ledum groenlandicum,Eristalis dimidiata,5,A
Ledum groenlandicum,Helophilus latifrons,14,A
Ledum groenlandicum,Helophilus fasciatus,4,A
Ledum groenlandicum,Helophilus laetus,4,A
Ledum groenlandicum,Bombus terricola,22,A
Ledum groenlandicum,Pyrobombus impatiens,5,A
Ledum groenlandicum,Pyrobombus sandersoni,3,A
Ledum groenlandicum,Pyrobombus ternarius,9,A
Ledum groenlandicum,Andrena alleghaniensis,2,A
Ledum groenlandicum,Andrena carlini,1,A
Ledum groenlandicum,Andrena carolina,4,A
Ledum groenlandicum,Andrena mandibularis,9,A
Ledum groenlandicum,Andrena regularis,31,A
Ledum groenlandicum,Andrena vicina,11,A
Ledum groenlandicum,Colletes inaequalis,3,A
Gaylussacia baccata,Hybomitra typhus,1,A
Gaylussacia baccata,Sercomyia transversa,23,A
Gaylussacia baccata,Eristalis dimidiata,7,A
Gaylussacia baccata,Helophilus latifrons,4,A
Gaylussacia baccata,Helophilus fasciatus,3,A
Gaylussacia baccata,Apis mellifera,1,A
Gaylussacia baccata,Bombus terricola,7,A
Gaylussacia baccata,Pyrobombus impatiens,3,A
Gaylussacia baccata,Pyrobombus sandersoni,14,A
Gaylussacia baccata,Pyrobombus ternarius,6,A
Gaylussacia baccata,Andrena bradleyi,4,A
Gaylussacia baccata,Andrena carolina,5,A
Gaylussacia baccata,Andrena regularis,7,A
Gaylussacia baccata,Andrena vicina,29,A
Kalmia angustifolia,Hybomitra typhus,13,A
Kalmia angustifolia,Pyrophaena rosarum,1,A
Kalmia angustifolia,Sercomyia transversa,2,A
