"","Adela.purpurea","Thymelicus.lineola","Macrodactlyus.subspinosus","Cyphon.variabilis","Hybomitra.minuscula","Hybomitra.typhus","Dilophus.caurinus","Spilogona.fatima","Shaerophoria.sp.","Pyrophaena.rosarum","Melanostoma.sp.","Sercomyia.transversa","Eristalis.dimidiata","Helophilus.latifrons","Helophilus.fasciatus","Helophilus.laetus","Syritta.pipiens","Toxomerus.marginatus","Syrphus.torvus","Apis.mellifera","Bombus.terricola","Pyrobombus.impatiens","Pyrobombus.perplexus","Pyrobombus.sandersoni","Pyrobombus.ternarius","Andrena.alleghaniensis","Andrena.bradleyi","Andrena.carlini","Andrena.carolina","Andrena.mandibularis","Andrena.regularis","Andrena.vicina","Colletes.inaequalis","Dialictus.pilosus"
"Salix.fragilis",20,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,2,0,5,1,1,0,0,11,51,0
"Chamaedaphne.calyculata",0,0,0,0,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,25,6,0,1,4,19,6,0
"Nemopanthus.mucronata",0,0,0,0,0,0,87,4,0,2,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,2,0,7,1,4,0,1
"Andromeda.glaucophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"Kalmia.polifolia",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,1,3,0,2,0,0,13,6,1,0,4
"Smilacina.trifolia",0,0,0,0,0,0,0,1,2,6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium.myrtilloides",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,14,17,14,7,16,0,12,1,6,1,10,7,11,0
"Aronia.melanocarpa",0,0,0,0,0,0,0,0,8,0,1,0,2,1,2,3,14,0,13,0,0,0,2,2,1,3,0,0,0,0,7,1,2,7
"Ledum.groenlandicum",0,0,0,0,0,0,0,0,4,1,0,2,5,14,4,4,0,0,0,0,22,5,0,3,9,2,0,1,4,9,31,11,3,0
"Gaylussacia.baccata",0,0,0,0,0,1,0,0,0,0,0,23,7,4,3,0,0,0,0,1,7,3,0,14,6,0,4,0,5,0,7,29,0,0
"Kalmia.angustifolia",0,0,0,0,0,13,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0
"Calopogon.pulchellus",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spiraea.alba",0,3,15,0,12,0,0,0,0,1,0,0,4,0,0,3,1,0,0,0,36,1,2,2,7,0,0,0,0,0,0,0,0,0
