Plant,Pollinator,edge.weight,site
Salix fragilis,Adela purpurea,20,A
Salix fragilis,Thymelicus lineola,0,A
Salix fragilis,Macrodactlyus subspinosus,0,A
Salix fragilis,Cyphon variabilis,37,A
Salix fragilis,Hybomitra minuscula,0,A
Salix fragilis,Hybomitra typhus,0,A
Salix fragilis,Dilophus caurinus,0,A
Salix fragilis,Spilogona fatima,1,A
Salix fragilis,Shaerophoria sp ,0,A
Salix fragilis,Pyrophaena rosarum,0,A
Salix fragilis,Melanostoma sp ,0,A
Salix fragilis,Sercomyia transversa,0,A
Salix fragilis,Eristalis dimidiata,0,A
Salix fragilis,Helophilus latifrons,0,A
Salix fragilis,Helophilus fasciatus,0,A
Salix fragilis,Helophilus laetus,0,A
Salix fragilis,Syritta pipiens,0,A
Salix fragilis,Toxomerus marginatus,0,A
Salix fragilis,Syrphus torvus,0,A
Salix fragilis,Apis mellifera,1,A
Salix fragilis,Bombus terricola,3,A
Salix fragilis,Pyrobombus impatiens,0,A
Salix fragilis,Pyrobombus perplexus,2,A
Salix fragilis,Pyrobombus sandersoni,2,A
Salix fragilis,Pyrobombus ternarius,2,A
Salix fragilis,Andrena alleghaniensis,0,A
Salix fragilis,Andrena bradleyi,5,A
Salix fragilis,Andrena carlini,1,A
Salix fragilis,Andrena carolina,1,A
Salix fragilis,Andrena mandibularis,0,A
Salix fragilis,Andrena regularis,0,A
Salix fragilis,Andrena vicina,11,A
Salix fragilis,Colletes inaequalis,51,A
Salix fragilis,Dialictus pilosus,0,A
Chamaedaphne calyculata,Adela purpurea,0,A
Chamaedaphne calyculata,Thymelicus lineola,0,A
Chamaedaphne calyculata,Macrodactlyus subspinosus,0,A
Chamaedaphne calyculata,Cyphon variabilis,0,A
Chamaedaphne calyculata,Hybomitra minuscula,0,A
Chamaedaphne calyculata,Hybomitra typhus,0,A
Chamaedaphne calyculata,Dilophus caurinus,0,A
Chamaedaphne calyculata,Spilogona fatima,7,A
Chamaedaphne calyculata,Shaerophoria sp ,1,A
Chamaedaphne calyculata,Pyrophaena rosarum,0,A
Chamaedaphne calyculata,Melanostoma sp ,1,A
Chamaedaphne calyculata,Sercomyia transversa,0,A
Chamaedaphne calyculata,Eristalis dimidiata,0,A
Chamaedaphne calyculata,Helophilus latifrons,0,A
Chamaedaphne calyculata,Helophilus fasciatus,1,A
Chamaedaphne calyculata,Helophilus laetus,0,A
Chamaedaphne calyculata,Syritta pipiens,0,A
Chamaedaphne calyculata,Toxomerus marginatus,0,A
Chamaedaphne calyculata,Syrphus torvus,0,A
Chamaedaphne calyculata,Apis mellifera,0,A
Chamaedaphne calyculata,Bombus terricola,0,A
Chamaedaphne calyculata,Pyrobombus impatiens,1,A
Chamaedaphne calyculata,Pyrobombus perplexus,0,A
Chamaedaphne calyculata,Pyrobombus sandersoni,1,A
Chamaedaphne calyculata,Pyrobombus ternarius,1,A
Chamaedaphne calyculata,Andrena alleghaniensis,0,A
Chamaedaphne calyculata,Andrena bradleyi,25,A
Chamaedaphne calyculata,Andrena carlini,6,A
Chamaedaphne calyculata,Andrena carolina,0,A
Chamaedaphne calyculata,Andrena mandibularis,1,A
Chamaedaphne calyculata,Andrena regularis,4,A
Chamaedaphne calyculata,Andrena vicina,19,A
Chamaedaphne calyculata,Colletes inaequalis,6,A
Chamaedaphne calyculata,Dialictus pilosus,0,A
Nemopanthus mucronata,Adela purpurea,0,A
Nemopanthus mucronata,Thymelicus lineola,0,A
Nemopanthus mucronata,Macrodactlyus subspinosus,0,A
Nemopanthus mucronata,Cyphon variabilis,0,A
Nemopanthus mucronata,Hybomitra minuscula,0,A
Nemopanthus mucronata,Hybomitra typhus,0,A
Nemopanthus mucronata,Dilophus caurinus,87,A
Nemopanthus mucronata,Spilogona fatima,4,A
Nemopanthus mucronata,Shaerophoria sp ,0,A
Nemopanthus mucronata,Pyrophaena rosarum,2,A
Nemopanthus mucronata,Melanostoma sp ,15,A
Nemopanthus mucronata,Sercomyia transversa,0,A
Nemopanthus mucronata,Eristalis dimidiata,0,A
Nemopanthus mucronata,Helophilus latifrons,0,A
Nemopanthus mucronata,Helophilus fasciatus,0,A
Nemopanthus mucronata,Helophilus laetus,0,A
Nemopanthus mucronata,Syritta pipiens,0,A
Nemopanthus mucronata,Toxomerus marginatus,0,A
Nemopanthus mucronata,Syrphus torvus,1,A
Nemopanthus mucronata,Apis mellifera,1,A
Nemopanthus mucronata,Bombus terricola,0,A
Nemopanthus mucronata,Pyrobombus impatiens,0,A
Nemopanthus mucronata,Pyrobombus perplexus,0,A
Nemopanthus mucronata,Pyrobombus sandersoni,0,A
Nemopanthus mucronata,Pyrobombus ternarius,1,A
Nemopanthus mucronata,Andrena alleghaniensis,6,A
Nemopanthus mucronata,Andrena bradleyi,0,A
Nemopanthus mucronata,Andrena carlini,2,A
Nemopanthus mucronata,Andrena carolina,0,A
Nemopanthus mucronata,Andrena mandibularis,7,A
Nemopanthus mucronata,Andrena regularis,1,A
Nemopanthus mucronata,Andrena vicina,4,A
Nemopanthus mucronata,Colletes inaequalis,0,A
Nemopanthus mucronata,Dialictus pilosus,1,A
Andromeda glaucophylla,Adela purpurea,0,A
Andromeda glaucophylla,Thymelicus lineola,0,A
Andromeda glaucophylla,Macrodactlyus subspinosus,0,A
Andromeda glaucophylla,Cyphon variabilis,0,A
Andromeda glaucophylla,Hybomitra minuscula,0,A
Andromeda glaucophylla,Hybomitra typhus,0,A
Andromeda glaucophylla,Dilophus caurinus,0,A
Andromeda glaucophylla,Spilogona fatima,0,A
Andromeda glaucophylla,Shaerophoria sp ,0,A
Andromeda glaucophylla,Pyrophaena rosarum,0,A
Andromeda glaucophylla,Melanostoma sp ,0,A
Andromeda glaucophylla,Sercomyia transversa,0,A
Andromeda glaucophylla,Eristalis dimidiata,0,A
Andromeda glaucophylla,Helophilus latifrons,0,A
Andromeda glaucophylla,Helophilus fasciatus,0,A
Andromeda glaucophylla,Helophilus laetus,0,A
Andromeda glaucophylla,Syritta pipiens,0,A
Andromeda glaucophylla,Toxomerus marginatus,0,A
Andromeda glaucophylla,Syrphus torvus,0,A
Andromeda glaucophylla,Apis mellifera,0,A
Andromeda glaucophylla,Bombus terricola,0,A
Andromeda glaucophylla,Pyrobombus impatiens,2,A
Andromeda glaucophylla,Pyrobombus perplexus,0,A
Andromeda glaucophylla,Pyrobombus sandersoni,0,A
Andromeda glaucophylla,Pyrobombus ternarius,1,A
Andromeda glaucophylla,Andrena alleghaniensis,0,A
Andromeda glaucophylla,Andrena bradleyi,0,A
Andromeda glaucophylla,Andrena carlini,0,A
Andromeda glaucophylla,Andrena carolina,0,A
Andromeda glaucophylla,Andrena mandibularis,0,A
Andromeda glaucophylla,Andrena regularis,0,A
Andromeda glaucophylla,Andrena vicina,0,A
